id,symbol,name,description,image_url,github_url,max_supply,consensus_type,network_layer,token_category
cardano,ADA,Cardano,"Cardano is a proof-of-stake blockchain platform launched in 2017 by Ethereum co-founder Charles Hoskinson. Developed with a research-driven approach, it supports smart contracts, decentralized applications, and scalable blockchain infrastructure.",/images/coins/cardano.png,https://github.com/input-output-hk,45000000000,pos,l1,native
chainlink,LINK,Chainlink,"Chainlink is a decentralized oracle network launched in 2019 by Sergey Nazarov and Steve Ellis. It connects smart contracts with real-world data feeds, APIs, and external systems, enabling advanced decentralized finance and blockchain applications.",/images/coins/chainlink.png,https://github.com/smartcontractkit,1000000000,token,l1,erc20
compound-governance-token,COMP,Compound,Compound is a decentralized finance lending protocol introduced in 2018 by Robert Leshner and Geoffrey Hayes. The COMP governance token allows holders to vote on protocol upgrades while the platform enables algorithmic crypto lending and borrowing.,/images/coins/compound-governance-token.png,https://github.com/compound-finance,10000000,token,l1,governance
cosmos,ATOM,Cosmos,Cosmos is a blockchain interoperability network launched in 2019 by Tendermint founders Jae Kwon and Ethan Buchman. It enables independent blockchains to communicate and transfer data through the Inter-Blockchain Communication protocol.,/images/coins/cosmos.png,https://github.com/cosmos,,pos,l1,native
curve-dao-token,CRV,Curve DAO Token,"Curve DAO Token powers Curve Finance, a decentralized exchange launched in 2020 by Michael Egorov. The platform specializes in low-slippage stablecoin trading and efficient liquidity pools for decentralized finance markets.",/images/coins/curve-dao-token.png,https://github.com/curvefi,3303030299,token,l1,governance
decentraland,MANA,Decentraland,"Decentraland is a blockchain-based virtual world launched in 2020 by Ari Meilich and Esteban Ordano. The MANA token is used to purchase virtual land, digital assets, and services within its decentralized metaverse ecosystem.",/images/coins/decentraland.png,https://github.com/decentraland,2193179327,token,l1,erc20
dogecoin,DOGE,Dogecoin,"Dogecoin is a cryptocurrency created in 2013 by Billy Markus and Jackson Palmer as a lighthearted alternative to Bitcoin. Based on the popular Shiba Inu meme, it became widely used for online tipping, payments, and community-driven fundraising.",/images/coins/dogecoin.png,https://github.com/dogecoin,,pow,l1,native
ethereum,ETH,Ethereum,"Ethereum is a decentralized blockchain platform launched in 2015 by Vitalik Buterin and other co-founders. It introduced programmable smart contracts, enabling decentralized applications, decentralized finance, and NFT ecosystems.",/images/coins/ethereum.png,https://github.com/ethereum,,pos,l1,native
ethereum-classic,ETC,Ethereum Classic,Ethereum Classic emerged in 2016 after a split from Ethereum following the DAO hack controversy. The network maintains the original Ethereum blockchain philosophy of immutability while supporting smart contracts and decentralized applications.,/images/coins/ethereum-classic.png,https://github.com/ethereumclassic,210700000,pow,l1,native
ethereum-name-service,ENS,Ethereum Name Service,"Ethereum Name Service is a decentralized naming protocol launched in 2017 on Ethereum. ENS replaces complex wallet addresses with human-readable names, simplifying blockchain transactions and decentralized identity management.",/images/coins/ethereum-name-service.jpg,https://github.com/ensdomains,100000000,token,l1,governance
fantom,FTM,Fantom,Fantom is a Layer 1 blockchain platform launched in 2019 by the Fantom Foundation. It uses a directed acyclic graph based consensus mechanism called Lachesis to provide fast and low-cost transactions for decentralized finance applications.,/images/coins/fantom.png,https://github.com/Fantom-foundation,3175000000,pos,l1,native
filecoin,FIL,Filecoin,Filecoin is a decentralized storage network created by Protocol Labs and launched in 2020. It incentivizes users to rent unused storage space through blockchain-based markets designed for secure and distributed data storage.,/images/coins/filecoin.png,https://github.com/filecoin-project,1959210000,hybrid,l1,native
havven,SNX,Synthetix,"Synthetix is a decentralized derivatives protocol launched in 2018 by Kain Warwick. Built on Ethereum, it allows users to create and trade synthetic assets that track cryptocurrencies, fiat currencies, commodities, and indexes.",/images/coins/havven.png,https://github.com/Synthetixio,339889850,token,l1,governance
hedera-hashgraph,HBAR,Hedera Hashgraph,"Hedera is a distributed ledger platform launched in 2019 by Leemon Baird and Mance Harmon. It uses Hashgraph consensus technology instead of a traditional blockchain to deliver high throughput, security, and low transaction costs.",/images/coins/hedera-hashgraph.png,https://github.com/hashgraph,50000000000,pos,l1,native
hyperliquid,HYPE,Hyperliquid,"Hyperliquid is a decentralized perpetual futures trading platform launched in 2024. Built with a custom high-speed Layer 1 blockchain, it focuses on low-latency trading, on-chain order books, and advanced decentralized derivatives markets.",/images/coins/hyperliquid.jpg,https://github.com/hyperliquid-dex,1000000000,pos,l1,native
immutable-x,IMX,Immutable X,Immutable X is an Ethereum Layer 2 platform launched in 2021 by Immutable for NFT scaling and blockchain gaming. It uses zero-knowledge rollups to enable fast and gas-free NFT minting and trading.,/images/coins/immutable-x.png,https://github.com/immutable,2000000000,rollup,l2,erc20
injective-protocol,INJ,Injective Protocol,"Injective is a decentralized finance blockchain launched in 2021 by Eric Chen and Albert Chon. Built with the Cosmos SDK, it supports decentralized derivatives, cross-chain trading, and fully on-chain financial applications.",/images/coins/injective-protocol.png,https://github.com/InjectiveLabs,100000000,pos,l1,native
kusama,KSM,Kusama,Kusama is an experimental blockchain network launched in 2019 by Polkadot founder Gavin Wood. It serves as a testing ground for early-stage blockchain projects and parachains before deployment on the Polkadot network.,/images/coins/kusama.jpg,https://github.com/paritytech,,pos,l1,native
lido-dao,LDO,Lido DAO,Lido DAO is a liquid staking protocol introduced in 2020 that allows users to stake cryptocurrencies while maintaining liquidity through derivative tokens. The platform is widely used for Ethereum staking and decentralized governance.,/images/coins/lido-dao.png,https://github.com/lidofinance,1000000000,token,l1,liquid_staking
litecoin,LTC,Litecoin,"Litecoin is a peer-to-peer cryptocurrency created in 2011 by former Google engineer Charlie Lee. Designed as a faster alternative to Bitcoin, it offers quicker block times and lower transaction costs for digital payments.",/images/coins/litecoin.png,https://github.com/litecoin-project,84000000,pow,l1,native
loopring,LRC,Loopring,Loopring is an Ethereum Layer 2 protocol launched in 2017 by Daniel Wang. It uses zero-knowledge rollups to enable high-speed and low-cost decentralized exchange trading while maintaining Ethereum security.,/images/coins/loopring.png,https://github.com/Loopring,1374513896,rollup,l2,erc20
near,NEAR,NEAR Protocol,NEAR Protocol is a scalable Layer 1 blockchain launched in 2020 by Illia Polosukhin and Alexander Skidanov. It uses sharding technology and a developer-friendly architecture to support decentralized applications with high throughput.,/images/coins/near.jpg,https://github.com/near,,pos,l1,native
ocean-protocol,OCEAN,Ocean Protocol,Ocean Protocol is a decentralized data exchange platform launched in 2019 by Bruce Pon and Trent McConaghy. It enables secure sharing and monetization of data assets while preserving privacy through blockchain technology.,/images/coins/ocean-protocol.jpg,https://github.com/oceanprotocol,1410000000,token,l1,erc20
optimism,OP,Optimism,Optimism is an Ethereum Layer 2 scaling solution launched in 2021 by Optimism PBC. It uses optimistic rollups to reduce transaction costs and improve scalability while maintaining compatibility with Ethereum applications.,/images/coins/optimism.png,https://github.com/ethereum-optimism,4294967296,rollup,l2,governance
pepe,PEPE,Pepe,Pepe is a meme-based cryptocurrency launched in 2023 on Ethereum and inspired by the Pepe the Frog internet character. The token gained popularity through online communities and speculative trading culture.,/images/coins/pepe.jpeg,https://github.com/pepecoinppc,420690000000000,token,l1,erc20
polkadot,DOT,Polkadot,Polkadot is a multichain blockchain network launched in 2020 by Ethereum co-founder Gavin Wood. It enables interoperability between independent blockchains through parachains connected to a central relay chain.,/images/coins/polkadot.jpg,https://github.com/paritytech,,pos,l1,native
ripple,XRP,Ripple,XRP is a digital asset created in 2012 by Ripple Labs founders Chris Larsen and Jed McCaleb. The XRP Ledger is designed for fast and low-cost cross-border payments and financial institution settlement systems.,/images/coins/ripple.png,https://github.com/XRPLF,100000000000,pos,l1,native
shiba-inu,SHIB,Shiba Inu,"Shiba Inu is a community-driven meme cryptocurrency launched in 2020 by the anonymous founder Ryoshi. Built on Ethereum, the ecosystem expanded to include decentralized finance, NFTs, and the Shibarium Layer 2 network.",/images/coins/shiba-inu.png,https://github.com/shytoshikusama,589552695333683,token,l1,erc20
solana,SOL,Solana,Solana is a high-performance blockchain launched in 2020 by Anatoly Yakovenko and Solana Labs. It combines proof-of-history with proof-of-stake consensus to support fast and low-cost decentralized applications and digital asset trading.,/images/coins/solana.png,https://github.com/solana-labs,,pos,l1,native
stellar,XLM,Stellar,Stellar is a blockchain payment network launched in 2014 by Jed McCaleb and the Stellar Development Foundation. It focuses on low-cost cross-border transfers and financial inclusion through fast digital asset settlement.,/images/coins/stellar.jpg,https://github.com/stellar,50001806812,pos,l1,native
sui,SUI,Sui,"Sui is a Layer 1 blockchain launched in 2023 by Mysten Labs, a team of former Meta engineers. It uses the Move programming language and parallel transaction processing to improve scalability and support high-performance decentralized applications.",/images/coins/sui.png,https://github.com/MystenLabs,10000000000,pos,l1,native
sushi,SUSHI,Sushi,SushiSwap is a decentralized exchange launched in 2020 as a community-driven fork of Uniswap. The SUSHI token powers governance and incentives across the platform's decentralized finance ecosystem.,/images/coins/sushi.png,https://github.com/sushiswap,250000000,token,l1,governance
the-graph,GRT,The Graph,"The Graph is a decentralized indexing protocol launched in 2020 by Yaniv Tal, Brandon Ramirez, and Jannis Pohlmann. It enables blockchain developers to efficiently query and organize decentralized data using open APIs called subgraphs.",/images/coins/the-graph.png,https://github.com/graphprotocol,10800262823,token,l1,erc20
the-open-network,TON,The Open Network,"The Open Network is a blockchain platform originally developed by Telegram and later maintained by the open-source TON community. The network focuses on fast payments, scalable applications, and integration with messaging services.",/images/coins/the-open-network.jpeg,https://github.com/ton-blockchain,5126458528,pos,l1,native
the-sandbox,SAND,The Sandbox,"The Sandbox is a blockchain gaming metaverse launched in 2018 by Pixowl. The SAND token is used for virtual land ownership, digital asset trading, and governance within its user-generated gaming ecosystem.",/images/coins/the-sandbox.jpg,https://github.com/thesandboxgame,3000000000,token,l1,erc20
thorchain,RUNE,Thorchain,THORChain is a decentralized cross-chain liquidity protocol launched in 2021. It enables users to swap native assets across different blockchains without wrapped tokens or centralized exchanges.,/images/coins/thorchain.png,https://github.com/thorchain,500000000,pos,l1,native
tron,TRX,Tron,"TRON is a blockchain platform founded by Justin Sun and launched in 2018. It focuses on digital entertainment, stablecoin transfers, and decentralized applications with high transaction throughput and low fees.",/images/coins/tron.png,https://github.com/tronprotocol,,pos,l1,native
uniswap,UNI,Uniswap,"Uniswap is a decentralized exchange protocol launched in 2018 by Hayden Adams. Built on Ethereum, it pioneered automated market maker technology that allows users to trade cryptocurrencies directly from liquidity pools.",/images/coins/uniswap.png,https://github.com/Uniswap,1000000000,token,l1,governance
yearn-finance,YFI,Yearn Finance,Yearn Finance is a decentralized finance yield optimization platform launched in 2020 by Andre Cronje. It automates strategies that help users maximize returns from lending and liquidity protocols.,/images/coins/yearn-finance.jpg,https://github.com/yearn,36666,token,l1,governance
zcash,ZEC,Zcash,Zcash is a privacy-focused cryptocurrency launched in 2016 by Zooko Wilcox. It uses zero-knowledge cryptography known as zk-SNARKs to enable optional shielded transactions with enhanced financial privacy.,/images/coins/zcash.png,https://github.com/zcash,21000000,pow,l1,native
